,Sector,Company,BSE,Datetime,Open,High,Low,Close,Adj Close,Volume,current_price,Low_52,High_52
5594,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 12:56:00+05:30,3378,3378,3376.800049,3378,3378,12,3339.55,1431.85,3420
5595,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 12:57:00+05:30,3378.399902,3378.399902,3376.800049,3376.800049,3376.800049,51,3339.55,1431.85,3420
5596,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:01:00+05:30,3380.5,3380.5,3380.25,3380.25,3380.25,2569,3339.55,1431.85,3420
5597,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:02:00+05:30,3383.899902,3383.899902,3383.899902,3383.899902,3383.899902,4,3339.55,1431.85,3420
5598,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:03:00+05:30,3382.399902,3383.800049,3382.399902,3383.800049,3383.800049,22,3339.55,1431.85,3420
5599,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:04:00+05:30,3383.050049,3383.050049,3383.050049,3383.050049,3383.050049,2,3339.55,1431.85,3420
5600,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:05:00+05:30,3381.050049,3381.050049,3381.050049,3381.050049,3381.050049,200,3339.55,1431.85,3420
5601,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:06:00+05:30,3380.649902,3380.649902,3380.649902,3380.649902,3380.649902,5,3339.55,1431.85,3420
5602,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:09:00+05:30,3382.149902,3382.149902,3380.5,3380.5,3380.5,1265,3339.55,1431.85,3420
5603,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:10:00+05:30,3380.5,3380.5,3380.5,3380.5,3380.5,1868,3339.55,1431.85,3420
5604,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:11:00+05:30,3380.5,3380.5,3380,3380,3380,2413,3339.55,1431.85,3420
5605,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:12:00+05:30,3377,3377,3376.800049,3376.800049,3376.800049,39,3339.55,1431.85,3420
5606,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:13:00+05:30,3375,3376,3375,3375,3375,178,3339.55,1431.85,3420
5607,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:14:00+05:30,3371.5,3371.5,3371.5,3371.5,3371.5,16,3339.55,1431.85,3420
5608,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:15:00+05:30,3370,3370.850098,3369.550049,3369.600098,3369.600098,139,3339.55,1431.85,3420
5609,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:16:00+05:30,3369.600098,3373.75,3369.600098,3373.75,3373.75,47,3339.55,1431.85,3420
5610,Fast Moving Consumer Goods,Asian Paints Limited,ASIANPAINT.BO,2022-09-16 13:17:00+05:30,3373.75,3373.75,3372.75,3372.75,3372.75,37,3339.55,1431.85,3420
